date,name,detaillink,open,point,rank
20200101,백두산,/moviedb/main?movieId=133855,2019.12.19,6.3,0
20200101,천문: 하늘에 묻는다,/moviedb/main?movieId=122361,2019.12.26,8.3,1
20200101,시동,/moviedb/main?movieId=128397,2019.12.18,7.7,2
20200101,미드웨이,/moviedb/main?movieId=132397,2019.12.31,7.7,3
20200101,겨울왕국 2,/moviedb/main?movieId=93004,2019.11.21,7.3,4
20200101,신비아파트 극장판 하늘도깨비 대 요르문간드,/moviedb/main?movieId=135716,2019.12.19,8.0,5
20200101,포드 V 페라리,/moviedb/main?movieId=128372,2019.12.04,8.6,6
20200101,나이브스 아웃,/moviedb/main?movieId=127153,2019.12.04,8.1,7
20200101,21 브릿지: 테러 셧다운 ,/moviedb/main?movieId=131200,2020.01.01,7.6,8
20200101,눈의 여왕4,/moviedb/main?movieId=128859,2019.12.24,7.9,9
20200101,프린스 코기,/moviedb/main?movieId=129412,2019.12.24,7.1,10
20200101,캣츠,/moviedb/main?movieId=127240,2019.12.24,5.3,11
20200101,피아니스트의 전설,/moviedb/main?movieId=3866,2020.01.01,9.0,12
20200101,파바로티,/moviedb/main?movieId=130688,2020.01.01,8.2,13
20200101,"고흐, 영원의 문에서",/moviedb/main?movieId=123857,2019.12.26,8.0,14
20200108,닥터 두리틀,/moviedb/main?movieId=126072,2019.12.19,6.3,0
20200108,백두산,/moviedb/main?movieId=133855,2019.12.26,8.3,1
20200108,스타워즈: 라이즈 오브 스카이워커,/moviedb/main?movieId=115602,2019.12.18,7.7,2
20200108,천문: 하늘에 묻는다,/moviedb/main?movieId=122361,2019.12.31,7.7,3
20200108,미드웨이,/moviedb/main?movieId=132397,2019.11.21,7.3,4
20200108,시동,/moviedb/main?movieId=128397,2019.12.19,8.0,5
20200108,겨울왕국 2,/moviedb/main?movieId=93004,2019.12.04,8.6,6
20200108,신비아파트 극장판 하늘도깨비 대 요르문간드,/moviedb/main?movieId=135716,2019.12.04,8.1,7
20200108,포드 V 페라리,/moviedb/main?movieId=128372,2020.01.01,7.6,8
20200108,나이브스 아웃,/moviedb/main?movieId=127153,2019.12.24,7.9,9
20200108,21 브릿지: 테러 셧다운 ,/moviedb/main?movieId=131200,2019.12.24,7.1,10
20200108,타발루가와 얼음공주,/moviedb/main?movieId=117929,2019.12.24,5.3,11
