"대여소
번호",보관소(대여소)명,소재지(위치),,,,"설치
시기",설치형태,,"운영
방식"
,,,,,,,LCD,QR,
,,자치구,상세주소,위도,경도,,,,
,,,,,,,"거치
대수","거치
대수",
,,,,,,,,,
00102,망원역 1번출구 앞,마포구,서울특별시 마포구 월드컵로 72,37.5556488,126.9106293,2022-05-03,,15,QR
00103,망원역 2번출구 앞,마포구,서울특별시 마포구 월드컵로 79,37.55495071,126.9108353,2022-05-03,,14,QR
00104,합정역 1번출구 앞,마포구,서울특별시 마포구 양화로 59,37.55062866,126.9149857,2022-05-12,,13,QR
00105,합정역 5번출구 앞,마포구,서울특별시 마포구 양화로 48,37.55000687,126.9148254,2015-09-06,,5,QR
00106,합정역 7번출구 앞,마포구,서울특별시 마포구 독막로 4,37.54864502,126.9128265,2022-05-12,,12,QR
00107,신한은행 서교동지점,마포구,서울특별시 마포구 월드컵북로 35,37.55751038,126.9185028,2021-12-28,,5,QR
00108,서교동 사거리,마포구,서울특별시 마포구 양화로 93,37.55274582,126.9186173,2021-12-28,,10,QR
00109,제일빌딩 앞,마포구,서울특별시 마포구 어울마당로 26,37.54769135,126.9199829,2015-09-07,,10,QR
00111,상수역 2번출구 앞,마포구,서울특별시 마포구 와우산로 40,37.54787064,126.9235306,2015-09-07,10,10,QR
00112,극동방송국 앞,마포구,서울특별시 마포구 와우산로 56,37.54920197,126.9232025,2015-09-07,10,10,QR
00113,홍대입구역 2번출구 앞,마포구,서울특별시 마포구 양화로 165,37.5574379,126.9238205,2021-05-20,,25,QR
00114,홍대입구역 8번출구 앞,마포구,서울특별시 마포구 양화로18길 3,37.55706024,126.9244232,2015-09-07,,15,QR
00115,마스타 빌딩 앞,서대문구,서울특별시 서대문구 연희로 7,37.55893326,126.9271164,2020-11-11,,15,QR
00116,일진아이윌아파트 옆,서대문구,서울특별시 서대문구 동교로 290,37.56454086,126.9270706,2015-09-07,5,5,QR
00117,홍은사거리,서대문구,마포구 서강로1길 30 ,37.59115982,126.94133,2015-09-07,23,23,QR
00118,광흥창역 2번출구 앞,마포구,서울특별시 마포구 독막로 지하165,37.54773331,126.9317627,2015-09-07,,10,QR
00119,서강나루 공원,마포구,서울특별시 마포구 창전로 30,37.54528427,126.9310532,2015-09-07,,10,QR
00120,신수동 사거리,마포구,서울특별시 마포구 토정로 211,37.54524231,126.9341126,2015-09-07,5,,LCD
00121,마포소방서 앞,마포구,서울특별시 마포구 창전로 76,37.54976654,126.9331741,2015-09-07,,15,QR
00122,신성기사식당 앞,마포구,서울특별시 마포구 독막로 223-1,37.54745865,126.9383774,2015-09-07,,10,QR
00123,문화촌 공원,서대문구,서울특별시 서대문구 홍제동 277-23,37.59432983,126.9473877,2015-09-07,,20,QR
00124,서강대 정문 건너편,마포구,서울특별시 마포구 서강로16길 72,37.55113983,126.9369888,2015-09-07,,20,QR
00125,서강대 남문 옆,마포구,서울특별시 마포구 백범로 35,37.54948425,126.9389496,2015-09-07,,15,QR
00126,서강대 후문 옆,마포구,서울특별시 마포구 대흥로 122,37.55041122,126.9438477,2015-09-07,,20,QR
00127,현대벤처빌 앞,마포구,서울특별시 마포구 백범로 10,37.5535202,126.9369507,2015-09-07,,15,QR
00128,신촌역(2호선) 1번출구 옆,서대문구,서울특별시 서대문구 연세로 3-5,37.55549622,126.9363403,2015-09-07,,18,QR
00129,신촌역(2호선) 6번출구 옆,마포구,서울특별시 마포구 신촌로 106,37.55505371,126.9375687,2022-05-12,,10,QR
00130,신촌역(2호선) 7번출구 앞,마포구,서울특별시 마포구 신촌로 94,37.55485916,126.9361572,2015-09-07,10,,LCD
00131,증산2교,서대문구,서울특별시 서대문구 증가로 264,37.5841713,126.9111023,2015-09-07,,20,QR
00133,해담는다리,서대문구,서울특별시 서대문구 불광천길 150,37.58203125,126.9089966,2015-09-07,,14,QR
00134,연세로 명물길,서대문구,서울특별시 서대문구 명물길 33,37.55789185,126.9380798,2020-11-11,,8,QR
00135,명물길 원형무대 앞,서대문구,서대문구 창천동 31-69,37.5591011,126.9391785,2015-09-07,10,,LCD
00137,신촌기차역입구 교차로,서대문구,서울특별시 서대문구 연세로2다길 58,37.55681229,126.9431839,2015-09-07,,10,QR
00138,신촌동 제1공영주차장 앞,서대문구,서울특별시 서대문구 증가로 264,37.5591774,126.9345245,2015-09-07,10,,LCD
00139,연세대 정문 건너편,서대문구,서울특별시 서대문구 연세로 42,37.55986404,126.9344177,2015-09-07,10,10,QR
00140,이화여대 후문,서대문구,서울특별시 서대문구 연세로 50-1,37.560009,126.9407349,2015-09-07,,22,QR
00141,연대 대운동장 옆,서대문구,서울특별시 서대문구 연세로 50,37.56238174,126.9326477,2015-09-07,,10,QR
00142,아현역 4번출구 앞,마포구,서울특별시 마포구 아현동 329-15,37.55720139,126.9556656,2016-06-29,11,,LCD
00143,공덕역 2번출구,마포구,서울특별시 마포구 공덕동 257-88,37.54457855,126.9502182,2016-06-29,9,,LCD
00144,공덕역 8번출구,마포구,서울특별시 마포구 공덕동 438-5,37.5435791,126.9513245,2016-06-29,10,,LCD
00145,공덕역 5번출구,마포구,서울특별시 마포구 공덕동 237-9,37.54425049,126.9516373,2016-06-29,9,,LCD
00146,마포역 2번출구 뒤,마포구,서울특별시 마포구 도화동 555-2,37.53993607,126.9458237,2016-06-29,12,,LCD
00147,마포역 4번출구 뒤,마포구,서울특별시 마포구 도화동 292-29,37.53927231,126.9459152,2016-06-29,7,,LCD
00148,용강동 주민센터 앞,마포구,서울특별시 마포구 용강동 234-1,37.54234695,126.9430237,2016-06-29,11,,LCD
00150,서강대역 2번출구 앞,마포구,서울특별시 마포구 노고산동 112-13,37.55295563,126.9343414,2016-06-29,15,,LCD
00153,성산2교 사거리,마포구,서울특별시 마포구 성산동 54-17,37.56469727,126.9126129,2016-06-29,10,,LCD
00154,마포구청역,마포구,서울특별시 마포구 망원동 477-23,37.56090927,126.9054947,2016-06-29,13,,LCD
00155,가좌역1 번출구 뒤,마포구,서울특별시 마포구 성산동123-29,37.56829453,126.9150467,2021-08-10,,15,QR
00156,서울서부지방법원 앞,마포구,서울특별시 마포구 공덕동 105-11,37.54933167,126.9549179,2016-06-29,10,,LCD
00157,애오개역 4번출구 앞,마포구,서울특별시 마포구 아현동 607-1,37.5530014,126.9566879,2016-06-29,12,,LCD
00159,이대역 4번 출구,서대문구,서울특별시 서대문구 대현동 60-11,37.55695343,126.9463425,2016-06-29,,5,QR
00160,북아현동 가구거리,서대문구,서울특별시 서대문구 북아현동 251-78,37.55754852,126.9593811,2016-06-29,13,,LCD
00161,무악재역1번 출구,서대문구,서울특별시 서대문구 통일로 380-4,37.58224487,126.9506455,2016-06-29,8,,LCD
00162,봉원고가차도 밑,서대문구,서울특별시 서대문구 대신동 143-1,37.56526947,126.9462433,2016-06-29,15,,LCD
00163,명지전문대학교 정문 앞,서대문구,서울특별시 서대문구 홍은동 산25-3,37.58369827,126.9249649,2021-07-05,,7,QR
