주차장명,주차면수,연월,입차대수,출차대수
가양라이품,38,2021-09,831,846
가양라이품,38,2021-10,837,852
가양라이품,38,2021-11,942,953
가양라이품,38,2021-12,929,958
가양라이품,38,2022-01,769,793
가양라이품,38,2022-02,545,556
가양라이품,38,2022-03,888,896
가양라이품,38,2022-04,991,1005
개화산역,322,2021-09,7076,7030
개화산역,322,2021-10,7988,7959
개화산역,322,2021-11,8348,8334
개화산역,322,2021-12,8003,7979
개화산역,322,2022-01,8456,8358
개화산역,322,2022-02,7538,7563
개화산역,322,2022-03,8588,8570
개화산역,322,2022-04,9216,9160
개화역,483,2021-09,6609,6654
개화역,483,2021-10,7320,7387
개화역,483,2021-11,8186,8303
개화역,483,2021-12,7379,7448
개화역,483,2022-01,6845,6921
개화역,483,2022-02,5843,5989
개화역,483,2022-03,6453,6497
개화역,483,2022-04,7486,7549
구로디지털단지역,92,2021-09,4279,4285
구로디지털단지역,92,2021-10,4541,4609
구로디지털단지역,92,2021-11,5628,5606
구로디지털단지역,92,2021-12,5305,5376
구로디지털단지역,92,2022-01,4854,4906
구로디지털단지역,92,2022-02,4423,4450
구로디지털단지역,92,2022-03,4790,4824
구로디지털단지역,92,2022-04,5750,5734
구파발역,399,2021-09,15941,16080
구파발역,399,2021-10,16539,16725
구파발역,399,2021-11,17319,17473
구파발역,399,2021-12,18170,18390
구파발역,399,2022-01,16425,16571
구파발역,399,2022-02,15096,15239
구파발역,399,2022-03,16035,16138
구파발역,399,2022-04,14976,15158
남산예장,40,2021-09,7280,7252
남산예장,40,2021-10,7723,7719
남산예장,40,2021-11,7635,7627
남산예장,40,2021-12,5307,5299
남산예장,40,2022-01,5253,2068
남산예장,40,2022-02,4675,6409
남산예장,40,2022-03,5354,10535
남산예장,40,2022-04,5326,10501
도봉산역,364,2021-09,10414,10422
도봉산역,364,2021-10,11942,11989
도봉산역,364,2021-11,10662,10666
도봉산역,364,2021-12,10584,10609
도봉산역,364,2022-01,9405,9585
도봉산역,364,2022-02,8334,8433
도봉산역,364,2022-03,9385,9642
도봉산역,364,2022-04,11673,11829
동대문,1092,2021-09,38212,38672
동대문,1092,2021-10,44781,45421
동대문,1092,2021-11,45931,46348
동대문,1092,2021-12,42350,43580
동대문,1092,2022-01,35033,35396
동대문,1092,2022-02,33667,33088
동대문,1092,2022-03,41680,42312
동대문,1092,2022-04,40944,42202
마포유수지,505,2021-09,16403,16621
마포유수지,505,2021-10,18640,18954
마포유수지,505,2021-11,20931,21219
마포유수지,505,2021-12,20330,20786
마포유수지,505,2022-01,19205,19553
마포유수지,505,2022-02,16717,17010
마포유수지,505,2022-03,20776,21101
마포유수지,505,2022-04,23641,24083
복정역,322,2021-09,8147,8234
복정역,322,2021-10,9506,9660
복정역,322,2021-11,10568,10659
복정역,322,2021-12,9562,9682
복정역,322,2022-01,8302,8451
복정역,322,2022-02,7159,7249
복정역,322,2022-03,7901,7953
